0,4,3,1,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000
4,0,5,1000000000000,5,1000000000000,4,1000000000000,1000000000000,1000000000000
3,5,0,3,3,5,1000000000000,1000000000000,1000000000000,1000000000000
1,1000000000000,3,0,1000000000000,1,1000000000000,1000000000000,2,1000000000000
1000000000000,5,3,1000000000000,0,3,5,2,1000000000000,1000000000000
1000000000000,1000000000000,5,1,3,0,1000000000000,4,2,1000000000000
1000000000000,4,1000000000000,1000000000000,5,1000000000000,0,3,1000000000000,1
1000000000000,1000000000000,1000000000000,1000000000000,2,4,3,0,1,4
1000000000000,1000000000000,1000000000000,2,1000000000000,2,1000000000000,1,0,4
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1,4,4,0
